iter	RMSE
0	39.03275663
1	39.02335245
2	39.01919244
3	39.01507662
4	39.011027
5	39.00778826
6	39.00358387
7	39.00027965
8	38.99822784
9	38.99198519
10	38.98947313
11	38.9872703
12	38.98462852
13	38.98178325
14	38.97760003
15	38.97392705
16	38.97009274
17	38.96813696
18	38.966596
19	38.96394707
20	38.95890508
21	38.95563113
22	38.9530996
23	38.94931646
24	38.94549333
25	38.94287077
26	38.93887577
27	38.93471956
28	38.93116692
29	38.92717686
30	38.9235131
31	38.91967789
32	38.91572551
33	38.91235968
34	38.90867405
35	38.90585331
36	38.90176696
37	38.89786223
38	38.89440033
39	38.89068385
40	38.88736949
41	38.88372041
42	38.88052842
43	38.87797289
44	38.87447891
45	38.87037869
46	38.86682286
47	38.86281594
48	38.85971851
49	38.85619042
50	38.85279503
51	38.84844848
52	38.84536773
53	38.84266209
54	38.84017923
55	38.83727745
56	38.83411811
57	38.83008898
58	38.82657363
59	38.82287618
60	38.82020439
61	38.81726508
62	38.81513043
63	38.81154715
64	38.80921859
65	38.80613367
66	38.80240851
67	38.79928346
68	38.79583946
69	38.79300426
70	38.78948967
71	38.78632158
72	38.78123438
73	38.77743862
74	38.77422121
75	38.7715043
76	38.76900119
77	38.76587791
78	38.76272138
79	38.75958895
80	38.75632689
81	38.75313785
82	38.74975155
83	38.74667192
84	38.74371235
85	38.74018181
86	38.73686635
87	38.73439799
88	38.73161867
89	38.72825097
90	38.72406268
91	38.72103403
92	38.7176708
93	38.71495455
94	38.71281145
95	38.7096564
96	38.70748101
97	38.70433063
98	38.70062928
99	38.69687821
