iter	Passed	Remaining
0	6	655
1	12	615
2	18	598
3	24	587
4	30	587
5	36	569
6	42	569
7	48	563
8	55	557
9	61	555
10	67	547
11	73	537
12	79	530
13	85	526
14	92	524
15	99	520
16	105	515
17	112	510
18	117	502
19	124	497
20	130	491
21	137	486
22	143	482
23	150	475
24	156	469
25	162	461
26	168	454
27	174	448
28	181	443
29	187	437
30	193	429
31	199	423
32	204	415
33	210	409
34	217	403
35	223	397
36	230	391
37	235	385
38	241	378
39	247	371
40	253	365
41	259	358
42	265	352
43	272	347
44	279	341
45	284	334
46	290	328
47	297	322
48	303	316
49	309	309
50	315	303
51	322	298
52	329	291
53	334	285
54	340	278
55	346	272
56	353	266
57	359	260
58	365	253
59	371	247
60	379	242
61	386	237
62	392	230
63	398	224
64	404	217
65	411	211
66	417	205
67	422	198
68	428	192
69	435	186
70	442	180
71	447	174
72	454	168
73	460	161
74	467	155
75	473	149
76	479	143
77	485	136
78	491	130
79	497	124
80	504	118
81	509	111
82	516	105
83	523	99
84	529	93
85	535	87
86	541	80
87	548	74
88	553	68
89	560	62
90	566	56
91	573	49
92	579	43
93	585	37
94	591	31
95	598	24
96	604	18
97	611	12
98	617	6
99	623	0
